system_id,archaeological_period_id,ArchDat_Beschreibung,ArchDat
1,,Period IV 1100 – 900,ScanBronsYn4
2,,Bronsålder (ca 1700 f. Kr. - 500 f. Kr.),ScanBrons
3,,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),ScanJärn
4,,Vikingatiden (800 e. Kr. - 1050 e. Kr.),ScanJärnVik
5,,Förmodern tid (1500 e. Kr. - 1800 e. Kr.),ScanFörMod
6,,Senmesolitikum (5500 – ca 4000 f. kr),ScanMesSen
7,,Mellanmesolitikum (6800 – 5500 f. kr),ScanMesMel
8,,Late Iron Age (BG) - 550-350 cal BC,LIA BG
9,,Late Antiquity (3th to 7th century AD),Lan
10,,Late Bronze Age BG,LBA BG
11,,Butto II,Buto2
12,,Nagada III,NAGD3
13,,Nagada III A-B,NGD3 AB
14,,Buto (general),Buto
15,,Old Kingdom 5th-6th Dynasty,OK 5/6
16,,Butto I,Buto1
17,,Nagada III C-D,NGD3 CD
