system_id,dataset_id,project_id,biblio_id,data_type_id,dataset_name,dataset_type_id,master_set_id,method_id,method_name
1,,1,,,"ORG2,0",,1,1,"ORG2,0"
2,,2,,,"ORG2,0",,1,1,"ORG2,0"
3,,3,,,"ORG2,0",,1,1,"ORG2,0"
4,,4,,,"ORG2,0",,1,1,"ORG2,0"
5,,5,,,"ORG2,0",,1,1,"ORG2,0"
6,,6,,,"ORG2,0",,1,1,"ORG2,0"
7,,7,,,"ORG2,0",,1,1,"ORG2,0"
8,,1,,,"ORG1,0",,1,2,"ORG1,0"
9,,2,,,"ORG1,0",,1,2,"ORG1,0"
10,,3,,,"ORG1,0",,1,2,"ORG1,0"
11,,4,,,"ORG1,0",,1,2,"ORG1,0"
12,,5,,,"ORG1,0",,1,2,"ORG1,0"
13,,6,,,"ORG1,0",,1,2,"ORG1,0"
14,,7,,,"ORG1,0",,1,2,"ORG1,0"
15,,1,,,"ORG0,5",,1,3,"ORG0,5"
16,,2,,,"ORG0,5",,1,3,"ORG0,5"
17,,3,,,"ORG0,5",,1,3,"ORG0,5"
18,,4,,,"ORG0,5",,1,3,"ORG0,5"
19,,5,,,"ORG0,5",,1,3,"ORG0,5"
20,,6,,,"ORG0,5",,1,3,"ORG0,5"
21,,7,,,"ORG0,5",,1,3,"ORG0,5"
22,,1,,,"ORG0,25",,1,4,"ORG0,25"
23,,2,,,"ORG0,25",,1,4,"ORG0,25"
24,,3,,,"ORG0,25",,1,4,"ORG0,25"
25,,4,,,"ORG0,25",,1,4,"ORG0,25"
26,,5,,,"ORG0,25",,1,4,"ORG0,25"
27,,6,,,"ORG0,25",,1,4,"ORG0,25"
28,,7,,,"ORG0,25",,1,4,"ORG0,25"
29,,1,,,"MIN2,0",,1,5,"MIN2,0"
30,,2,,,"MIN2,0",,1,5,"MIN2,0"
31,,3,,,"MIN2,0",,1,5,"MIN2,0"
32,,4,,,"MIN2,0",,1,5,"MIN2,0"
33,,5,,,"MIN2,0",,1,5,"MIN2,0"
34,,6,,,"MIN2,0",,1,5,"MIN2,0"
35,,7,,,"MIN2,0",,1,5,"MIN2,0"
36,,1,,,"MIN1,0",,1,6,"MIN1,0"
37,,2,,,"MIN1,0",,1,6,"MIN1,0"
38,,3,,,"MIN1,0",,1,6,"MIN1,0"
39,,4,,,"MIN1,0",,1,6,"MIN1,0"
40,,5,,,"MIN1,0",,1,6,"MIN1,0"
41,,6,,,"MIN1,0",,1,6,"MIN1,0"
42,,7,,,"MIN1,0",,1,6,"MIN1,0"
43,,1,,,"MIN0,5",,1,7,"MIN0,5"
44,,2,,,"MIN0,5",,1,7,"MIN0,5"
45,,3,,,"MIN0,5",,1,7,"MIN0,5"
46,,4,,,"MIN0,5",,1,7,"MIN0,5"
47,,5,,,"MIN0,5",,1,7,"MIN0,5"
48,,6,,,"MIN0,5",,1,7,"MIN0,5"
49,,7,,,"MIN0,5",,1,7,"MIN0,5"
50,,1,,,"MIN0,25",,1,8,"MIN0,25"
51,,2,,,"MIN0,25",,1,8,"MIN0,25"
52,,3,,,"MIN0,25",,1,8,"MIN0,25"
53,,4,,,"MIN0,25",,1,8,"MIN0,25"
54,,5,,,"MIN0,25",,1,8,"MIN0,25"
55,,6,,,"MIN0,25",,1,8,"MIN0,25"
56,,7,,,"MIN0,25",,1,8,"MIN0,25"
