system_id,dominance_id,PCODE,Dom,Dom_u
1,,AECYN,,
2,,ALNU,,
3,,APIAC,,
4,,ATRI,,
5,,CERA,,
6,,CHALB,,
7,,FRVES,,
8,,GAIS,,
9,,GLHEH,,
10,,HELE,,
11,,PLMAJ,,
12,,POAVI,,
13,,POLCO,,
14,,POLPE,,
15,,PRPAD,,
16,,RANU,,
17,,RUIDA,,
18,,SILE,,
19,,SOLA,,
20,,SPARV,,
21,,STGRA,,
22,,STMES,,
23,,TOJAP,,
24,,URDIO,,
25,,ALGLI,,
26,,BITRI,,
27,,COAVE,,
28,,FIULM,,
29,,HULUP,,
30,,RAFIC,,
31,,SCSIL,,
32,,SIDIO,,
33,,STAC,,
34,,STEL,,
35,,CARE,,
36,,INDET,,
37,,SPAR,,
38,,BETU,,
39,,FRAX,,
40,,PINU,,
41,,PRUN,,
42,,RUCRI,,
43,,AVSAT,,
44,,CEREA,,
45,,GASPU,,
46,,HODIV,,
47,,HODVN,,
48,,HODVS,,
49,,LAMI,,
50,,POLAP,,
51,,CATRI,,
52,,POACE,,
53,,RUMAC,,
54,,THARV,,
55,,GALI,,
56,,RUME,,
57,,SONIG,,
58,,BRAS,,
59,,TRAED,,
60,,LIUSI,,
61,,MEDME,,
62,,TRIT,,
63,,PRVUL,,
64,,MELI,,
65,,VIOL,,
66,,FUOFF,,
67,,PIEXC,,
68,,CENT,,
69,,EUHEL,,
70,,FABAC,,
71,,JUCOC,,
72,,PHLE,,
73,,POPER,,
74,,POTE,,
75,,TRIF,,
76,,TYARU,,
77,,TRDSP,,
78,,ALCH,,
79,,GALAS,,
80,,GAAPA,,
81,,LAPIV,,
82,,CAMSA,,
83,,BROM,,
84,,CHEN,,
85,,CABIC,,
86,,ALGLU,,
87,,ARCMI,,
88,,ASTER,,
89,,BRSEC,,
90,,CECYA,,
91,,COMA,,
92,,HEPAL,,
93,,OXACE,,
94,,POERE,,
95,,RAARE,,
96,,RASCE,,
97,,RUFRU,,
98,,SCTAB,,
99,,SISEL,,
100,,URURE,,
101,,EUPEP,,
102,,FICAR,,
103,,LUMUL,,
104,,PAPA,,
105,,SANIG,,
106,,SECER,,
107,,SODUL,,
108,,STPAL,,
109,,TARA,,
110,,HYNIG,,
111,,SASAG,,
112,,POTA,,
113,,RUACE,,
114,,GEUM,,
115,,LEON,,
116,,METRI,,
117,,RUMMA,,
118,,THFLA,,
119,,TRIEU,,
120,,CIRS,,
121,,ALOP,,
122,,CHAE,,
123,,SORB,,
124,,PRCER,,
125,,BEPUB,,
126,,CLIN,,
127,,PEDPA,,
128,,VICI,,
129,,FEALT,,
130,,ARUVA,,
131,,TRMOD,,
132,,VIVIN,,
133,,EUPH,,
134,,POOLE,,
135,,TRDIC,,
136,,SEVEV,,
137,,SAMB,,
138,,TRMOC,,
139,,LECUL,,
140,,PAMIL,,
141,,PHPRP,,
142,,PISAT,,
143,,SCANA,,
144,,CHRUB,,
145,,ECCRU,,
146,,LITAR,,
147,,MALV,,
148,,VIERV,,
149,,CUMSA,,
150,,LACIS,,
151,,LABIA,,
152,,SEITA,,
153,,MEDI,,
154,,Laleib,,
155,,SALV,,
156,,SCHO,,
157,,SEGLA,,
158,,SETA,,
159,,HOVUL,,
160,,LOTEM,,
161,,Phami,,
162,,LOLI,,
163,,PHAL,,
164,,Polypo,,
165,,ACAC,,
166,,ANGMO,,
167,,CYPE,,
168,,CYPER,,
169,,PHRA,,
170,,Rucrden,,
171,,SOLAN,,
172,,TAMA,,
173,,CUMEL,,
174,,HOVUS,,
175,,VICKF,,
176,,FABAK,,
177,,LahVi,,
178,,CYROT,,
179,,HORD4,,
180,,POGO,,
181,,VIHIT,,
182,,ISOL,,
183,,BOLB,,
184,,LAHIR,,
185,,Fisyc,,
186,,Anpse,,
187,,Cornilot,,
188,,Glilot,,
189,,HORD,,
190,,LITH,,
191,,Aelur,,
192,,ANGRA,,
193,,Ficus,,
194,,FIMB,,
195,,Oryzm,,
196,,Pelaplan,,
197,,SCORP,,
198,,BRASS,,
199,,ORIG,,
200,,ORNI,,
201,,HIVUL,,
202,,ZIJUJ,,
203,,DIGI,,
204,,ECHSE,,
205,,MEDTR,,
206,,VITET,,
207,,PULI,,
208,,ARNE,,
209,,CHENO,,
210,,SHER,,
211,,PANIC,,
212,,LINU,,
213,,JUNC,,
214,,PORT,,
215,,ANCOT,,
216,,AMVIS,,
217,,BEERE,,
218,,CAPP,,
219,,GYMNO,,
220,,VITI,,
